	label	mc	mc_onset	color_name
0	g:KeyMode.MINOR	1	0	green
1	G:m, inv:0	1	0	green
2	D:M, inv:1	1	3/4	green
3	G:m, inv:0	2	0	green
4	Eb:M, inv:0	2	1/2	green
5	D:M, inv:0	3	0	green
6	C:m, inv:0	4	0	green
7	--	4	1/4	red
8	--	4	1/4	red
9	--	4	1/2	green
10	--	4	1/2	green
11	G:m, inv:0	5	0	green
12	F:M, inv:0	5	3/4	red
13	G:m, inv:0	6	0	green
14	D:m, inv:1	6	1/4	red
15	D:m, inv:0	6	1/2	green
16	F:KeyMode.MAJOR	6	3/4	red
17	C:Mm7, inv:1	6	3/4	red
18	g:KeyMode.MINOR	7	0	green
19	F#:o, inv:0	7	0	red
20	--	7	1/4	green
21	--	7	3/4	red
22	d:KeyMode.MINOR	8	0	yellow
23	A:M, inv:0	8	0	green
24	A:Mm7, inv:0	8	1/4	yellow
25	--	9	1/2	red
26	A:m, inv:1	9	1/2	green
27	F:KeyMode.MAJOR	9	3/4	red
28	C:Mm7, inv:1	9	3/4	red
29	--	10	0	green
30	C:M, inv:0	10	0	green
31	C:M, inv:1	10	1/4	yellow
32	C:M, inv:0	10	1/2	green
33	C:KeyMode.MAJOR	10	7/8	red
34	B:o, inv:1	10	7/8	red
35	F:KeyMode.MAJOR	11	0	green
36	C:M, inv:0	11	0	green
37	--	11	3/4	red
38	--	11	3/4	red
39	--	12	0	green
40	F:M, inv:0	12	0	red
41	--	12	1/2	red
42	--	12	1/2	green
43	C:M, inv:0	13	0	red
44	F:M, inv:0	13	1/2	green
45	C:KeyMode.MAJOR	13	3/4	red
46	B:o, inv:1	13	3/4	red
47	F:KeyMode.MAJOR	14	0	red
48	C:m, inv:0	14	0	green
49	--	14	3/4	red
50	G:m, inv:0	15	0	green
51	g:KeyMode.MINOR	15	3/4	green
52	F#:o, inv:1	15	3/4	red
53	F:KeyMode.MAJOR	16	0	red
54	Bb:M, inv:0	16	0	green
55	g:KeyMode.MINOR	16	1/4	green
56	D:Mm7, inv:1	16	1/4	red
57	F:KeyMode.MAJOR	16	1/2	red
58	G:m, inv:0	16	1/2	green
59	--	16	3/4	red
60	g:KeyMode.MINOR	17	0	green
61	D:M, inv:0	17	0	green
62	F:KeyMode.MAJOR	18	0	red
63	G:m, inv:0	18	0	green
64	g:KeyMode.MINOR	18	1/4	green
65	D:M, inv:1	18	1/4	green
66	--	18	1/2	red
67	F:KeyMode.MAJOR	19	0	red
68	D:m, inv:0	19	0	red
69	Bb:M, inv:0	19	1/2	green
70	C:M, inv:0	19	3/4	red
71	F:M, inv:0	20	0	red
72	--	20	1/4	red
73	--	20	1/2	green
74	--	21	1/4	red
75	--	21	1/2	red
76	Bb:KeyMode.MAJOR	22	0	red
77	F:Mm7, inv:0	22	0	red
78	--	22	1/4	red
79	--	22	1/2	red
80	F:KeyMode.MAJOR	23	0	red
81	G:m, inv:1	23	0	red
82	g:KeyMode.MINOR	23	1/4	green
83	D:Mm7, inv:0	23	1/4	yellow
84	D:M, inv:0	23	1/2	green
85	F:KeyMode.MAJOR	24	0	red
86	G:m, inv:1	24	0	red
87	g:KeyMode.MINOR	24	1/4	green
88	D:M, inv:0	24	1/4	green
89	F:KeyMode.MAJOR	24	7/8	red
90	G:m, inv:0	24	7/8	red
91	F:M, inv:0	25	0	red
92	Bb:KeyMode.MAJOR	25	1/4	red
93	F:Mm7, inv:0	25	1/4	red
94	F:KeyMode.MAJOR	25	1/2	red
95	Bb:M, inv:0	25	1/2	red
96	--	26	0	red
97	F:M, inv:0	26	0	green
98	--	26	1/2	red
99	Bb:M, inv:0	26	1/2	green
100	d:KeyMode.MINOR	27	0	green
101	A:M, inv:0	27	0	green
102	F:KeyMode.MAJOR	27	1/2	red
103	D:m, inv:0	27	1/2	red
104	d:KeyMode.MINOR	27	3/4	green
105	A:M, inv:1	27	3/4	yellow
106	A:M, inv:0	28	0	green
107	F:KeyMode.MAJOR	29	0	red
108	D:m, inv:0	29	0	green
109	Bb:M, inv:0	29	1/2	green
110	C:M, inv:0	30	0	red
111	F:M, inv:0	30	1/2	green
112	C:M, inv:0	31	0	green
113	--	31	1/2	red
114	C:m, inv:0	31	3/4	green
115	C:M, inv:0	32	0	red
116	--	32	1/2	red
117	--	32	3/4	red
118	D:m, inv:0	33	0	red
119	--	33	1/2	red
120	C:M, inv:0	34	0	green
121	--	34	1/2	red
122	G:m, inv:0	35	0	green
123	g:KeyMode.MINOR	36	0	green
124	D:Mm7, inv:1	36	0	yellow
125	F:KeyMode.MAJOR	36	1/2	red
126	G:m, inv:0	36	1/2	green
127	D:m, inv:0	36	3/4	green
128	d:KeyMode.MINOR	37	0	green
129	A:M, inv:0	37	0	green
130	F:KeyMode.MAJOR	38	0	red
131	D:m, inv:0	38	0	red
