	label	mc	mc_onset	color_name
0	F:KeyMode.MAJOR	1	0	green
1	F:M, inv:0	1	0	green
2	--	3	3/8	yellow
3	Bb:M, inv:0	4	0	red
4	F:M, inv:1	4	1/8	red
5	C:KeyMode.MAJOR	4	1/4	red
6	G:Mm7, inv:1	4	1/4	red
7	F:KeyMode.MAJOR	4	3/8	green
8	C:M, inv:0	4	3/8	red
9	F:M, inv:0	5	0	red
10	F:M, inv:1	5	1/4	red
11	--	5	3/8	red
12	--	5	5/8	red
13	C:KeyMode.MAJOR	6	0	green
14	B:o7, inv:0	6	0	green
15	F:KeyMode.MAJOR	6	1/8	red
16	Bb:mm7, inv:0	6	1/8	red
17	C:M, inv:0	6	1/4	red
18	--	6	3/8	green
19	--	6	3/8	green
20	F:M, inv:0	7	0	green
21	--	9	3/8	yellow
22	Bb:M, inv:0	10	0	red
23	F:M, inv:1	10	1/8	red
24	C:KeyMode.MAJOR	10	1/4	red
25	G:Mm7, inv:1	10	1/4	red
26	F:KeyMode.MAJOR	10	3/8	green
27	C:M, inv:0	10	3/8	red
28	F:M, inv:0	11	0	red
29	F:M, inv:1	11	1/4	red
30	--	11	3/8	red
31	--	11	5/8	red
32	C:KeyMode.MAJOR	12	0	green
33	B:o7, inv:0	12	0	green
34	F:KeyMode.MAJOR	12	3/8	green
35	E:o, inv:2	12	3/8	red
36	Bb:KeyMode.MAJOR	13	0	red
37	A:o, inv:0	13	0	red
38	F:KeyMode.MAJOR	13	3/8	green
39	G:m, inv:1	13	3/8	green
40	C:Mm7, inv:0	14	0	green
41	F:M, inv:0	14	3/8	green
42	C:Mm7, inv:0	15	0	green
43	F:M, inv:0	16	0	green
44	C:Mm7, inv:0	17	0	green
45	F:M, inv:0	18	0	green
46	C:Mm7, inv:0	19	0	green
47	F:M, inv:0	20	0	green
48	C:Mm7, inv:0	21	0	green
49	F:M, inv:0	22	0	green
50	--	22	3/8	red
51	C:KeyMode.MAJOR	22	5/8	red
52	G:Mm7, inv:1	22	5/8	red
53	F:KeyMode.MAJOR	23	0	green
54	A:m, inv:1	23	0	red
55	d:KeyMode.MINOR	23	1/4	red
56	A:M, inv:1	23	1/4	red
57	F:KeyMode.MAJOR	23	3/8	green
58	Bb:M, inv:1	23	3/8	green
59	d:KeyMode.MINOR	23	5/8	red
60	C#:o7, inv:1	23	5/8	red
61	--	24	0	red
62	F:KeyMode.MAJOR	24	3/8	green
63	C:Mm7, inv:3	24	3/8	green
64	F:M, inv:1	25	0	green
65	--	25	3/8	red
66	--	25	5/8	red
67	--	25	5/8	red
68	--	26	0	green
69	Bb:M, inv:1	26	0	red
70	Bb:KeyMode.MAJOR	27	1/4	red
71	F:Mm7, inv:1	27	1/4	red
72	F:KeyMode.MAJOR	27	3/8	green
73	G:m, inv:1	27	3/8	green
74	C:KeyMode.MAJOR	27	5/8	red
75	G:M, inv:1	27	5/8	red
76	F:KeyMode.MAJOR	28	0	green
77	A:m, inv:1	28	0	red
78	--	28	3/8	red
79	--	29	0	red
80	C:Mm7, inv:3	29	3/8	green
81	F:M, inv:1	30	0	green
82	Bb:M, inv:0	30	3/8	green
83	C:M, inv:0	31	0	green
84	C:Mm7, inv:0	31	3/8	green
85	F:M, inv:0	32	0	green
86	C:Mm7, inv:0	32	3/8	yellow
87	F:M, inv:0	33	0	green
