chord_root_tpc,chord_root_midi,chord_type,chord_inversion,key_tonic_tpc,key_tonic_midi,key_mode,duration,interval
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,1/32,"[0, 0.03125]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,7/32,"[0.03125, 0.25]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,1/32,"[0.25, 0.28125]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,15/32,"[0.28125, 0.75]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,1/32,"[0.75, 0.78125]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,3/16,"[0.78125, 0.96875]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,1/32,"[0.96875, 1.0]"
6,6,ChordType.DIM7,0,1,7,KeyMode.MAJOR,1/32,"[1.0, 1.03125]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/4,"[1.03125, 1.28125]"
0,0,ChordType.MINOR,0,0,0,KeyMode.MINOR,1/4,"[1.28125, 1.53125]"
1,7,ChordType.MAJOR,1,0,0,KeyMode.MINOR,15/32,"[1.53125, 2.0]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,1/32,"[2.0, 2.03125]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,7/32,"[2.03125, 2.25]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,1/32,"[2.25, 2.28125]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,15/32,"[2.28125, 2.75]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,1/32,"[2.75, 2.78125]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,3/16,"[2.78125, 2.96875]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,1/32,"[2.96875, 3.0]"
5,11,ChordType.DIM7,0,0,0,KeyMode.MINOR,1/32,"[3.0, 3.03125]"
4,4,ChordType.DIM7,2,-1,5,KeyMode.MINOR,1/4,"[3.03125, 3.28125]"
-1,5,ChordType.MINOR,1,0,0,KeyMode.MINOR,1/4,"[3.28125, 3.53125]"
0,0,ChordType.MAJOR,1,-1,5,KeyMode.MINOR,15/32,"[3.53125, 4.0]"
4,4,ChordType.DIM7,0,-1,5,KeyMode.MINOR,1/32,"[4.0, 4.03125]"
4,4,ChordType.DIM7,0,-1,5,KeyMode.MINOR,7/32,"[4.03125, 4.25]"
-2,10,ChordType.MINOR,2,0,0,KeyMode.MINOR,1/32,"[4.25, 4.28125]"
-2,10,ChordType.MINOR,2,0,0,KeyMode.MINOR,15/32,"[4.28125, 4.75]"
-2,10,ChordType.MINOR,2,0,0,KeyMode.MINOR,1/32,"[4.75, 4.78125]"
-2,10,ChordType.MINOR,2,0,0,KeyMode.MINOR,3/16,"[4.78125, 4.96875]"
