chord_root_tpc,chord_root_midi,chord_type,chord_inversion,key_tonic_tpc,key_tonic_midi,key_mode,duration,interval
-3,3,ChordType.MAJOR,0,-3,3,KeyMode.MAJOR,1/4,"[0, 0.25]"
-2,10,ChordType.MAJOR,0,-3,3,KeyMode.MAJOR,1/4,"[0.25, 0.5]"
0,0,ChordType.MINOR,0,-3,3,KeyMode.MAJOR,3/8,"[0.5, 0.875]"
-4,8,ChordType.MAJOR,1,-3,3,KeyMode.MAJOR,3/32,"[0.875, 0.96875]"
-4,8,ChordType.MAJOR,1,-3,3,KeyMode.MAJOR,1/32,"[0.96875, 1.0]"
4,4,ChordType.DIMINISHED,2,-1,5,KeyMode.MINOR,1/8,"[1.0, 1.125]"
4,4,ChordType.DIM7,2,-1,5,KeyMode.MINOR,3/32,"[1.125, 1.21875]"
4,4,ChordType.DIM7,2,-1,5,KeyMode.MINOR,1/32,"[1.21875, 1.25]"
-1,5,ChordType.MAJOR,1,0,0,KeyMode.MINOR,1/8,"[1.25, 1.375]"
2,2,ChordType.MAJOR,0,1,7,KeyMode.MAJOR,3/32,"[1.375, 1.46875]"
2,2,ChordType.MAJOR,0,1,7,KeyMode.MAJOR,1/32,"[1.46875, 1.5]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/8,"[1.5, 1.625]"
6,6,ChordType.DIM7,1,1,7,KeyMode.MINOR,1/16,"[1.625, 1.6875]"
6,6,ChordType.DIM7,1,1,7,KeyMode.MINOR,1/16,"[1.6875, 1.75]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/8,"[1.75, 1.875]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/16,"[1.875, 1.9375]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/16,"[1.9375, 2.0]"
1,7,ChordType.MAJOR,0,0,0,KeyMode.MINOR,1/8,"[2.0, 2.125]"
6,6,ChordType.DIM7,1,1,7,KeyMode.MINOR,1/16,"[2.125, 2.1875]"
