	label	mc	mc_onset	color_name
0	D:KeyMode.MAJOR	1	0	red
1	E:m, inv:1	1	0	red
2	A:M, inv:0	2	0	red
3	--	2	1/2	green
4	A:KeyMode.MAJOR	3	0	yellow
5	E:Mm7, inv:1	3	0	red
6	--	3	1/2	yellow
7	D:KeyMode.MAJOR	4	0	red
8	D:m, inv:0	4	0	green
9	C:M, inv:0	4	1/4	green
10	A:KeyMode.MAJOR	5	0	yellow
11	E:Mm7, inv:1	5	0	red
12	--	5	1/4	yellow
13	D:KeyMode.MAJOR	6	0	red
14	A:M, inv:0	6	0	red
15	--	6	1/2	green
16	A:KeyMode.MAJOR	7	0	yellow
17	E:Mm7, inv:1	7	0	red
18	--	7	1/2	yellow
19	D:KeyMode.MAJOR	8	0	red
20	D:m, inv:0	8	0	green
21	--	8	1/4	red
22	--	8	1/2	red
23	A:KeyMode.MAJOR	9	0	yellow
24	E:Mm7, inv:0	9	0	red
25	D:KeyMode.MAJOR	9	1/4	red
26	A:m, inv:0	9	1/4	green
27	C:M, inv:0	10	0	green
28	C:M, inv:1	10	1/4	yellow
29	C:M, inv:0	10	1/2	green
30	F:M, inv:0	10	5/8	red
31	--	11	0	yellow
32	--	12	1/2	green
33	--	13	0	red
34	C:M, inv:1	13	5/8	green
35	D:m, inv:0	14	0	green
36	G:Mm7, inv:0	14	1/4	red
37	A:KeyMode.MAJOR	14	3/8	yellow
38	G#:o7, inv:0	14	3/8	red
39	D:KeyMode.MAJOR	14	1/2	red
40	A:M, inv:2	14	1/2	red
41	A:KeyMode.MAJOR	14	5/8	yellow
42	G#:M, inv:1	14	5/8	red
43	D:KeyMode.MAJOR	15	0	red
44	E:m, inv:1	15	0	red
45	A:KeyMode.MAJOR	15	1/4	red
46	G#:o7, inv:0	15	1/4	red
47	D:KeyMode.MAJOR	15	5/8	red
48	B:m, inv:1	15	5/8	red
49	A:KeyMode.MAJOR	16	0	yellow
50	G#:o7, inv:2	16	0	red
51	D:KeyMode.MAJOR	17	0	red
52	G:M, inv:0	17	0	yellow
53	--	17	1/2	red
54	--	17	1/2	red
55	A:KeyMode.MAJOR	18	0	yellow
56	E:Mm7, inv:1	18	0	red
57	D:KeyMode.MAJOR	18	3/8	red
58	A:m, inv:1	18	3/8	red
59	A:KeyMode.MAJOR	18	1/2	yellow
60	G#:o, inv:1	18	1/2	red
61	D:KeyMode.MAJOR	18	5/8	red
62	D:m, inv:2	18	5/8	red
63	A:KeyMode.MAJOR	19	0	yellow
64	E:Mm7, inv:0	19	0	yellow
65	E:M, inv:0	20	0	green
66	D:KeyMode.MAJOR	21	0	red
67	A:M, inv:0	21	0	red
68	--	21	1/2	green
69	A:KeyMode.MAJOR	22	0	yellow
70	E:Mm7, inv:1	22	0	red
71	--	22	1/2	yellow
72	D:KeyMode.MAJOR	23	0	red
73	D:m, inv:0	23	0	green
74	C:M, inv:0	23	1/4	green
75	A:KeyMode.MAJOR	24	0	yellow
76	E:Mm7, inv:1	24	0	red
77	--	24	1/4	yellow
78	D:KeyMode.MAJOR	25	0	red
79	A:M, inv:0	25	0	red
80	A:M, inv:1	25	1/2	yellow
81	A:KeyMode.MAJOR	26	0	yellow
82	E:M, inv:0	26	0	red
83	--	26	1/2	yellow
84	D:KeyMode.MAJOR	27	0	red
85	D:m, inv:0	27	0	green
86	C:M, inv:0	27	1/4	green
87	A:KeyMode.MAJOR	27	1/2	yellow
88	E:Mm7, inv:0	27	1/2	green
89	D:KeyMode.MAJOR	28	0	red
90	A:m, inv:0	28	0	green
91	--	29	0	red
92	C:M, inv:0	29	1/2	green
93	F:M, inv:0	29	5/8	red
94	--	30	0	yellow
95	--	31	1/2	green
96	--	32	0	red
97	C:M, inv:1	32	5/8	green
98	D:m, inv:0	33	0	green
99	G:Mm7, inv:0	33	1/4	red
100	A:KeyMode.MAJOR	33	3/8	yellow
101	G#:o7, inv:0	33	3/8	red
102	D:KeyMode.MAJOR	33	1/2	red
103	A:M, inv:0	33	1/2	red
104	A:KeyMode.MAJOR	33	5/8	yellow
