chord_root_tpc	chord_root_midi	chord_type	chord_inversion	key_tonic_tpc	key_tonic_midi	key_mode	duration
0	0	ChordType.MINOR	0	0	0	KeyMode.MINOR	1/4
0	0	ChordType.MINOR	0	0	0	KeyMode.MINOR	3/32
0	0	ChordType.MINOR	0	0	0	KeyMode.MINOR	1/32
1	7	ChordType.MAJOR	2	0	0	KeyMode.MINOR	3/32
1	7	ChordType.MAJOR	2	0	0	KeyMode.MINOR	1/32
6	6	ChordType.DIM7	0	1	7	KeyMode.MINOR	1/4
1	7	ChordType.MAJOR	0	0	0	KeyMode.MINOR	7/32
1	7	ChordType.MAJOR	0	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/4
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	3/32
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/32
1	7	ChordType.MAJOR	0	0	0	KeyMode.MINOR	3/32
1	7	ChordType.MAJOR	0	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/4
0	0	ChordType.MINOR	1	0	0	KeyMode.MINOR	7/32
0	0	ChordType.MINOR	1	0	0	KeyMode.MINOR	1/32
6	6	ChordType.DIM7	3	1	7	KeyMode.MINOR	1/4
6	6	ChordType.DIM7	3	1	7	KeyMode.MINOR	3/32
6	6	ChordType.DIM7	3	1	7	KeyMode.MINOR	1/32
2	2	ChordType.MAJOR	0	1	7	KeyMode.MINOR	3/32
2	2	ChordType.MAJOR	0	1	7	KeyMode.MINOR	1/32
6	6	ChordType.DIM7	2	1	7	KeyMode.MINOR	1/4
1	7	ChordType.MAJOR	1	0	0	KeyMode.MINOR	3/32
1	7	ChordType.MAJOR	1	0	0	KeyMode.MINOR	1/32
2	2	ChordType.MAJOR	0	1	7	KeyMode.MINOR	3/32
2	2	ChordType.MAJOR	0	1	7	KeyMode.MINOR	1/32
6	6	ChordType.DIM7	2	1	7	KeyMode.MINOR	1/4
1	7	ChordType.MAJOR	1	0	0	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	3	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/8
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/32
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-3	3	ChordType.MAJOR	2	-3	3	KeyMode.MAJOR	1/64
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/64
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/64
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/64
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/64
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/128
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/32
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/32
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/32
-3	3	ChordType.MAJOR	0	-3	3	KeyMode.MAJOR	1/32
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/32
-1	5	ChordType.MINOR	1	-3	3	KeyMode.MAJOR	1/32
5	11	ChordType.DIM7	1	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	1	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	1	0	0	KeyMode.MINOR	1/32
-1	5	ChordType.MINOR	2	-3	3	KeyMode.MAJOR	1/16
-1	5	ChordType.MINOR	2	-3	3	KeyMode.MAJOR	1/32
-1	5	ChordType.MINOR	2	-3	3	KeyMode.MAJOR	1/32
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/16
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/32
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/32
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/16
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/32
-2	10	ChordType.MAJ_MIN7	0	-3	3	KeyMode.MAJOR	1/32
7	1	ChordType.DIM7	3	2	2	KeyMode.MINOR	1/16
7	1	ChordType.DIM7	3	2	2	KeyMode.MINOR	1/16
7	1	ChordType.DIM7	3	2	2	KeyMode.MINOR	1/16
7	1	ChordType.DIM7	3	2	2	KeyMode.MINOR	1/32
7	1	ChordType.DIM7	3	2	2	KeyMode.MINOR	1/32
3	9	ChordType.MAJOR	0	2	2	KeyMode.MINOR	1/16
3	9	ChordType.MAJOR	0	2	2	KeyMode.MINOR	1/32
3	9	ChordType.MAJOR	0	2	2	KeyMode.MINOR	1/32
7	1	ChordType.DIM7	2	2	2	KeyMode.MINOR	1/16
7	1	ChordType.DIM7	2	2	2	KeyMode.MINOR	1/32
7	1	ChordType.DIM7	2	2	2	KeyMode.MINOR	1/32
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/32
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/32
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/16
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/32
2	2	ChordType.MAJ_MIN7	1	1	7	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	2	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIMINISHED	1	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIMINISHED	1	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIMINISHED	1	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIMINISHED	1	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIMINISHED	1	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	0	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/16
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/32
5	11	ChordType.DIM7	3	0	0	KeyMode.MINOR	1/32
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MINOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MINOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MINOR	1/16
1	7	ChordType.MAJ_MIN7	0	0	0	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	1	0	0	KeyMode.MINOR	1/16
