chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/4	0	9/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	0	11/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	0	23/16
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	3/4	1	0
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	3/8	1	3/4
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/4	1	9/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	1	11/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	1	23/16
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	3/8	2	0
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/4	2	3/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	2	5/8
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	1/16	2	11/16
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	3/8	2	3/4
-1	5	ChordType.MINOR	0			-1	5	KeyMode.MINOR	3/8	2	9/8
0	0	ChordType.MAJOR	1			-1	5	KeyMode.MINOR	5/8	3	0
0	0	ChordType.MAJOR	1			-1	5	KeyMode.MINOR	1/8	3	5/8
5	11	ChordType.DIM7	2			0	0	KeyMode.MINOR	9/16	3	3/4
5	11	ChordType.DIM7	2			0	0	KeyMode.MINOR	1/16	3	21/16
5	11	ChordType.DIM7	2			0	0	KeyMode.MINOR	1/16	3	11/8
5	11	ChordType.DIM7	2			0	0	KeyMode.MINOR	1/16	3	23/16
0	0	ChordType.MAJOR	1			-1	5	KeyMode.MINOR	9/8	4	0
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/4	4	9/8
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/16	4	11/8
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/16	4	23/16
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	3/4	5	0
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	3/8	5	3/4
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/4	5	9/8
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/16	5	11/8
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/16	5	23/16
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	3/8	6	0
-6	6	ChordType.MAJOR	0			-6	6	KeyMode.MAJOR	1/4	6	3/8
