chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	0	3/4
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	1	0
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	1	1/4
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	1	1/2
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	1	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	2	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	2	1/4
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	2	1/2
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	2	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	1/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	1/2
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	3/4
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	3/4	4	0
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	4	3/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	5	0
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	5	1/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	5	1/2
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	5	3/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	6	0
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	6	1/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	6	1/2
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	6	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	7	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	7	1/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	7	1/2
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	7	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	8	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	8	1/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	8	1/2
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	8	3/4
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	9	0
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	9	1/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	9	1/2
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	9	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	3/4	10	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	10	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	10	7/8
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	1/8
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	1/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	3/8
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	1/2
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	5/8
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	11	7/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	0
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	1/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	1/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	3/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	1/2
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	5/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	3/4
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	12	7/8
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	0
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	1/8
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	1/4
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	3/8
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	1/2
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	5/8
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	3/4
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	7/8
5	11	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	14	0
5	11	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	14	1/8
5	11	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	14	1/4
5	11	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	14	3/8
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	14	1/2
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	14	5/8
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	14	3/4
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	14	7/8
4	4	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	15	0
4	4	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	15	1/8
4	4	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	15	1/4
4	4	ChordType.MINOR	0			2	2	KeyMode.MAJOR	1/8	15	3/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	15	1/2
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/8	15	5/8
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	15	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	3/4	16	0
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	16	3/4
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	16	7/8
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	17	0
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	17	1/8
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	17	1/4
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/8	17	3/8
