chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset	label
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	1	3/4	D.I{
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	2	0	V6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	2	1/4	V6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	2	1/2	V6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	2	3/4	V6
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	0	I
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	1/4	I
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	1/2	V
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	3	3/4	V
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	4	0	I
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	4	1/4	I
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	4	1/2	I
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	4	3/4	I
3	9	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	3/4	5	0	V|HC}
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	5	3/4	I6{
7	1	ChordType.DIMINISHED	1			2	2	KeyMode.MAJOR	1/4	6	0	viio6
5	11	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	6	1/4	vi6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	6	1/2	V6
5	11	ChordType.MIN_MIN7	1			2	2	KeyMode.MAJOR	1/4	6	3/4	vi65
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	7	0	V6
1	7	ChordType.MAJOR	1	:3	:9	2	2	KeyMode.MAJOR	1/4	7	1/4	IV6(+2)
6	6	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	7	1/2	iii6
1	7	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	7	3/4	IV6
6	6	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	8	0	iii6
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	8	1/4	ii6
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	8	1/2	I6
4	4	ChordType.MIN_MIN7	1			2	2	KeyMode.MAJOR	1/4	8	3/4	ii65
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/4	9	0	I6
7	1	ChordType.DIMINISHED	1			2	2	KeyMode.MAJOR	1/4	9	1/4	viio6
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	1/4	9	1/2	I
9	3	ChordType.DIMINISHED	0			4	4	KeyMode.MINOR	1/4	9	3/4	#viio/ii
9	3	ChordType.DIMINISHED	0			4	4	KeyMode.MINOR	1/4	10	0	#viio/ii
4	4	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/4	10	1/4	ii6
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	10	1/2	V7
3	9	ChordType.MAJ_MIN7	0			2	2	KeyMode.MAJOR	1/4	10	3/4	V7
2	2	ChordType.MAJOR	0			2	2	KeyMode.MAJOR	3/4	11	0	I|PAC}
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	11	3/4	I6{
2	2	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	11	7/8	I6{
7	1	ChordType.DIMINISHED	1			2	2	KeyMode.MAJOR	1/8	12	0	viio6
7	1	ChordType.DIMINISHED	1			2	2	KeyMode.MAJOR	1/8	12	1/8	viio6
5	11	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	12	1/4	vi6
5	11	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	12	3/8	vi6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	12	1/2	V6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	12	5/8	V6
5	11	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	12	3/4	V[vi6
5	11	ChordType.MINOR	1			2	2	KeyMode.MAJOR	1/8	12	7/8	V[vi6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	0	V6
3	9	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	1/8	V6
1	7	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	1/4	IV6
1	7	ChordType.MAJOR	1			2	2	KeyMode.MAJOR	1/8	13	3/8	IV6
