chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset	label
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	3/8	1	0	Ab.I{
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	1/8	1	3/8	I6
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	3/16	1	1/2	I6
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	1/16	1	11/16	I6
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/4	2	0	V43
-3	3	ChordType.MAJ_MIN7	3			-4	8	KeyMode.MAJOR	1/2	2	1/4	V2
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	1/8	3	0	I6
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	1/8	3	1/8	I6
-4	8	ChordType.MAJOR	1			-4	8	KeyMode.MAJOR	1/8	3	1/4	I6
-2	10	ChordType.MIN_MIN7	2			-4	8	KeyMode.MAJOR	1/8	3	3/8	ii43
-4	8	ChordType.MAJOR	2			-4	8	KeyMode.MAJOR	1/8	3	1/2	I64
-5	1	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/8	3	5/8	IV
-3	3	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	3/16	4	0	V
-3	3	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	4	3/16	V
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	5/32	4	1/4	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/32	4	13/32	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/32	4	7/16	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/32	4	15/32	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/8	4	1/2	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/16	4	5/8	V7
-3	3	ChordType.MAJ_MIN7	0			-4	8	KeyMode.MAJOR	1/16	4	11/16	V7
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	0	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	1/16	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	1/8	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	3/16	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	1/4	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	5/16	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	3/8	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	7/16	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	1/2	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	9/16	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	5/8	I|IAC}{
-4	8	ChordType.MAJOR	0			-4	8	KeyMode.MAJOR	1/16	5	11/16	I|IAC}{
-3	3	ChordType.MAJ_MIN7	2	1:-4	7:8	-4	8	KeyMode.MAJOR	1/16	6	0	V43(4)
-3	3	ChordType.MAJ_MIN7	2	1:-4	7:8	-4	8	KeyMode.MAJOR	1/16	6	1/16	V43(4)
-3	3	ChordType.MAJ_MIN7	2	1:-4	7:8	-4	8	KeyMode.MAJOR	1/16	6	1/8	V43(4)
-3	3	ChordType.MAJ_MIN7	2	1:-4	7:8	-4	8	KeyMode.MAJOR	1/16	6	3/16	V43(4)
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	1/4	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	5/16	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	3/8	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	7/16	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	1/2	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	9/16	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	5/8	V43
-3	3	ChordType.MAJ_MIN7	2			-4	8	KeyMode.MAJOR	1/16	6	11/16	V43
-3	3	ChordType.MAJ_MIN7	3			-4	8	KeyMode.MAJOR	1/16	7	0	V2
-3	3	ChordType.MAJ_MIN7	3			-4	8	KeyMode.MAJOR	1/16	7	1/16	V2
-3	3	ChordType.MAJ_MIN7	3			-4	8	KeyMode.MAJOR	1/16	7	1/8	V2
