chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	3/16	0	0
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/16	0	3/16
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/2	0	1/4
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	3/16	1	0
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/16	1	3/16
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/2	1	1/4
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/4	2	0
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/4	2	1/4
-1	5	ChordType.MIN_MIN7	1			-3	3	KeyMode.MAJOR	1/4	2	1/2
3	9	ChordType.DIM7	0			-2	10	KeyMode.MAJOR	3/4	3	0
3	9	ChordType.DIM7	0			-2	10	KeyMode.MAJOR	1/4	4	0
3	9	ChordType.DIM7	0			-2	10	KeyMode.MAJOR	1/4	4	1/4
3	9	ChordType.DIM7	0			-2	10	KeyMode.MAJOR	1/4	4	1/2
-3	3	ChordType.MAJOR	2			-3	3	KeyMode.MAJOR	3/4	5	0
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/8	6	0
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/8	6	1/8
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/16	6	1/4
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/16	6	5/16
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/16	6	3/8
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/16	6	7/16
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/8	6	1/2
-2	10	ChordType.MAJ_MIN7	0			-3	3	KeyMode.MAJOR	1/8	6	5/8
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/16	7	0
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/16	7	1/16
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/16	7	1/8
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/16	7	3/16
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	1/4
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	1/3
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	5/12
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	1/2
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	7/12
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	7	2/3
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	0
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	1/12
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	1/6
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	1/4
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	1/3
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	5/12
-3	3	ChordType.MAJOR	0			-3	3	KeyMode.MAJOR	1/12	8	1/2
