chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset	label
2	2	ChordType.MAJOR	0			1	7	KeyMode.MINOR	1/8	1	3/8	g.V{
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	2	0	i
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	2	1/8	i6
6	6	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	2	1/4	#viio6
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	2	3/8	i
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	3	0	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	3	1/8	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	3	1/4	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	3	3/8	V65
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	4	0	i
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	4	1/8	i6
6	6	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	4	1/4	#viio6
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	4	3/8	i
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	5	0	iv
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	5	1/8	iv
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	5	1/4	iv
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	5	3/8	iv
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	6	0	i6
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	6	1/8	i6
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	6	1/4	i6
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	6	3/8	i6
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	7	0	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	7	1/8	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	7	1/4	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	7	3/8	V65
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	8	0	i
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	8	1/8	i
3	9	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	8	1/4	iio6
3	9	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	8	3/8	iio6
2	2	ChordType.MAJOR	0	3:-2;6:1	9:10;6:7	1	7	KeyMode.MINOR	3/16	9	0	V(64)
2	2	ChordType.MAJOR	0	3:-2;6:1	9:10;6:7	1	7	KeyMode.MINOR	1/32	9	3/16	V(64)
2	2	ChordType.MAJOR	0	3:-2;6:1	9:10;6:7	1	7	KeyMode.MINOR	1/32	9	7/32	V(64)
2	2	ChordType.MAJOR	0			1	7	KeyMode.MINOR	1/8	9	1/4	V|HC}
2	2	ChordType.MAJOR	0			1	7	KeyMode.MINOR	1/8	9	3/8	V|HC}
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	10	0	i
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	10	1/8	i6
6	6	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	10	1/4	#viio6
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	10	3/8	i
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	11	0	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	11	1/8	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	11	1/4	V65
2	2	ChordType.MAJ_MIN7	1			1	7	KeyMode.MINOR	1/8	11	3/8	V65
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	12	0	i
1	7	ChordType.MINOR	1			1	7	KeyMode.MINOR	1/8	12	1/8	i6
6	6	ChordType.DIMINISHED	1			1	7	KeyMode.MINOR	1/8	12	1/4	#viio6
1	7	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	12	3/8	i
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	13	0	iv
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	13	1/8	iv
0	0	ChordType.MINOR	0			1	7	KeyMode.MINOR	1/8	13	1/4	iv
3	9	ChordType.DIMINISHED	1			-2	10	KeyMode.MAJOR	1/8	13	3/8	III.viio6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	0	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	1/16	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	1/8	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	3/16	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	1/4	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	5/16	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	3/8	I6
-2	10	ChordType.MAJOR	1			-2	10	KeyMode.MAJOR	1/16	14	7/16	I6
0	0	ChordType.MINOR	1	0:2	0:2	-2	10	KeyMode.MAJOR	1/8	15	0	ii6(2)
0	0	ChordType.MINOR	1			-2	10	KeyMode.MAJOR	1/8	15	1/8	ii6
0	0	ChordType.MAJOR	1			-1	5	KeyMode.MAJOR	1/8	15	1/4	V6/V
0	0	ChordType.MAJ_MIN7	1			-1	5	KeyMode.MAJOR	1/8	15	3/8	V65/V
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	0	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	1/16	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	1/8	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	3/16	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	1/4	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	5/16	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	3/8	V|HC}
-1	5	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	16	7/16	V|HC}
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	0	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	1/16	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	1/8	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	3/16	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	1/4	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	5/16	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	3/8	V65{
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	17	7/16	V65{
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	0	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	1/16	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	1/8	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	3/16	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	1/4	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	5/16	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	3/8	I
-2	10	ChordType.MAJOR	0			-2	10	KeyMode.MAJOR	1/16	18	7/16	I
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	19	0	V65
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	19	1/16	V65
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	19	1/8	V65
-1	5	ChordType.MAJ_MIN7	1			-2	10	KeyMode.MAJOR	1/16	19	3/16	V65
