	label	mc	mc_onset	color_name
0	d:KeyMode.MINOR	1	3/4	green
1	D:m, inv:0	1	3/4	green
2	--	1	5/4	red
3	--	1	5/4	red
4	--	2	0	green
5	G:m, inv:0	2	0	green
6	--	2	1/4	red
7	D:m, inv:1	2	1/2	red
8	--	3	3/4	green
9	--	3	1	red
10	A:M, inv:0	3	5/4	yellow
11	D:m, inv:0	4	0	green
12	--	5	3/4	yellow
13	--	5	9/8	red
14	--	5	5/4	green
15	Bb:M, inv:0	6	0	red
16	A:M, inv:0	6	1/4	green
17	D:m, inv:0	6	1/2	green
18	--	7	3/4	red
19	A:m, inv:0	7	5/4	green
20	F:M, inv:0	8	0	red
21	D:m, inv:0	8	1/2	green
22	--	9	1	red
23	A:m, inv:0	9	1	red
24	--	10	0	red
25	F:KeyMode.MAJOR	10	1/4	green
26	C:Mm7, inv:0	10	1/4	yellow
27	--	11	3/4	red
28	--	11	3/4	red
29	--	11	15/16	red
30	d:KeyMode.MINOR	11	1	red
31	C#:o, inv:0	11	1	red
32	g:KeyMode.MINOR	11	5/4	green
33	D:Mm7, inv:0	11	5/4	yellow
34	G:m, inv:0	12	0	green
35	--	13	3/4	red
36	--	13	1	red
37	--	13	1	red
38	--	13	11/8	red
39	Bb:M, inv:0	14	0	green
40	--	14	1/2	red
41	--	15	3/4	red
42	D:m, inv:0	15	1	red
43	d:KeyMode.MINOR	16	0	green
44	A:M, inv:0	16	0	green
45	g:KeyMode.MINOR	17	3/4	red
46	F:M, inv:0	17	3/4	green
47	c:KeyMode.MINOR	17	5/4	yellow
48	B:o, inv:2	17	5/4	red
49	g:KeyMode.MINOR	18	0	red
50	C:m, inv:1	18	0	red
51	--	18	1/4	red
52	--	18	1/4	red
53	--	18	1/2	red
54	--	19	3/4	red
55	--	19	3/4	red
56	D:m, inv:0	19	1	red
57	--	19	5/4	red
58	--	20	0	red
59	Eb:M, inv:0	20	0	red
60	--	20	1/4	red
61	Bb:KeyMode.MAJOR	20	1/2	red
62	F:M, inv:1	20	1/2	red
63	--	21	3/4	green
64	F:M, inv:0	22	0	green
65	--	23	15/16	red
66	F:KeyMode.MAJOR	23	1	green
67	C:Mm7, inv:0	23	1	yellow
68	C:M, inv:0	23	5/4	yellow
69	F:M, inv:0	24	0	green
70	D:m, inv:0	24	1/2	red
71	--	25	1	red
72	Bb:M, inv:0	25	1	green
73	C:KeyMode.MAJOR	26	0	red
74	G:M, inv:0	26	0	red
75	--	26	1/2	red
76	--	27	3/4	red
77	d:KeyMode.MINOR	27	1	green
78	A:Mm7, inv:0	27	1	yellow
79	D:m, inv:0	28	0	yellow
80	--	28	1/2	green
81	--	29	3/4	red
82	A:M, inv:0	29	1	yellow
83	A:Mm7, inv:1	29	5/4	green
84	D:M, inv:0	30	0	green
85	--	31	3/4	red
86	D:m, inv:0	31	1	red
87	--	31	5/4	green
88	A:M, inv:0	32	0	green
89	D:m, inv:0	34	0	red
90	--	34	1/4	green
91	A:M, inv:0	35	3/4	green
92	B:m, inv:0	35	1	red
93	A:M, inv:1	35	5/4	yellow
94	D:m, inv:0	36	0	green
95	--	36	1/2	red
96	--	37	3/4	red
97	C:KeyMode.MAJOR	37	1	red
98	G:Mm7, inv:3	37	1	red
99	--	37	5/4	red
100	d:KeyMode.MINOR	38	0	green
101	A:M, inv:1	38	0	yellow
102	--	38	1/2	red
103	--	39	3/4	red
104	A:M, inv:0	39	1	green
105	--	39	5/4	yellow
106	D:m, inv:0	40	0	green
