	label	mc	mc_onset	color_name
0	F:KeyMode.MAJOR	1	11/8	green
1	F:M, inv:0	1	11/8	red
2	--	2	0	yellow
3	--	2	9/8	green
4	C:M, inv:0	3	0	green
5	C:Mm7, inv:0	3	3/8	green
6	F:M, inv:0	3	3/4	green
7	C:M, inv:1	3	1	red
8	C:KeyMode.MAJOR	3	9/8	green
9	G:Mm7, inv:2	3	9/8	green
10	F:KeyMode.MAJOR	4	0	green
11	C:M, inv:0	4	0	yellow
12	--	4	3/8	green
13	--	4	3/4	red
14	--	4	3/4	red
15	C:KeyMode.MAJOR	4	1	green
16	B:o, inv:0	4	1	red
17	F:KeyMode.MAJOR	4	9/8	green
18	C:M, inv:0	4	9/8	green
19	--	5	0	red
20	--	5	0	red
21	--	5	3/8	red
22	--	5	3/4	green
23	--	5	3/4	yellow
24	g:KeyMode.MINOR	5	9/8	green
25	F#:o, inv:0	5	9/8	green
26	F:KeyMode.MAJOR	6	0	green
27	G:m, inv:0	6	0	green
28	--	6	3/4	red
29	--	6	9/8	red
30	C:Mm7, inv:0	6	11/8	green
31	F:M, inv:0	7	0	yellow
32	--	7	3/8	green
33	--	7	3/4	red
34	Bb:KeyMode.MAJOR	7	9/8	green
35	F:Mm7, inv:0	7	9/8	green
36	F:KeyMode.MAJOR	8	0	green
37	Bb:M, inv:0	8	0	yellow
38	--	8	3/8	red
39	Bb:KeyMode.MAJOR	8	3/4	red
40	F:Mm7, inv:1	8	3/4	yellow
41	F:KeyMode.MAJOR	8	1	green
42	C:Mm7, inv:3	8	1	red
43	--	8	9/8	yellow
44	--	8	11/8	yellow
45	Bb:KeyMode.MAJOR	9	0	red
46	F:M, inv:0	9	0	yellow
47	F:KeyMode.MAJOR	9	1/8	green
48	C:M, inv:0	9	1/8	red
49	Bb:KeyMode.MAJOR	9	3/8	red
50	F:M, inv:1	9	3/8	yellow
51	F:KeyMode.MAJOR	9	3/4	green
52	C:M, inv:1	9	3/4	yellow
53	--	9	9/8	green
54	Bb:KeyMode.MAJOR	10	0	red
55	F:M, inv:1	10	0	yellow
56	--	10	3/8	yellow
57	--	10	3/4	red
58	--	10	9/8	red
59	--	10	9/8	red
60	--	11	0	red
61	G:m, inv:0	11	0	green
62	G:m, inv:1	11	3/8	yellow
63	g:KeyMode.MINOR	11	5/8	red
64	D:M, inv:0	11	5/8	red
65	--	11	3/4	green
66	--	11	3/4	green
67	--	11	9/8	yellow
68	D:M, inv:1	11	11/8	green
69	--	12	0	red
70	D:M, inv:0	12	0	red
71	Bb:KeyMode.MAJOR	12	3/8	red
72	G:m, inv:0	12	3/8	green
73	g:KeyMode.MINOR	12	3/4	green
74	D:M, inv:0	12	3/4	green
75	Bb:KeyMode.MAJOR	13	0	red
76	G:m, inv:0	13	0	yellow
77	--	13	3/8	green
78	--	13	3/4	red
79	F:M, inv:1	13	9/8	green
80	Bb:M, inv:0	14	0	yellow
81	--	14	3/8	green
82	--	14	3/4	red
83	F:KeyMode.MAJOR	14	9/8	green
84	C:M, inv:0	14	9/8	red
85	Bb:KeyMode.MAJOR	15	0	red
86	F:M, inv:0	15	0	yellow
87	F:KeyMode.MAJOR	15	5/8	green
88	C:M, inv:0	15	5/8	red
89	Bb:KeyMode.MAJOR	15	3/4	red
90	F:M, inv:0	15	3/4	yellow
91	--	15	9/8	green
92	--	16	0	red
93	F:KeyMode.MAJOR	16	3/8	green
94	C:Mm7, inv:1	16	3/8	yellow
95	Bb:KeyMode.MAJOR	16	3/4	red
96	F:M, inv:0	16	3/4	yellow
97	--	16	9/8	green
98	F:KeyMode.MAJOR	17	0	green
99	C:M, inv:0	17	0	green
100	--	17	3/8	red
101	--	17	3/8	red
102	--	17	3/4	green
103	--	17	3/4	red
104	--	17	9/8	red
105	Bb:KeyMode.MAJOR	17	5/4	red
106	F:M, inv:0	17	5/4	red
107	F:KeyMode.MAJOR	18	0	green
108	C:M, inv:0	18	0	red
109	--	18	3/8	red
110	--	18	3/4	red
111	--	18	9/8	red
112	Bb:KeyMode.MAJOR	19	0	red
113	F:M, inv:0	19	0	green
114	--	19	3/4	red
115	--	19	3/4	red
116	F:KeyMode.MAJOR	19	9/8	green
117	C:M, inv:1	19	9/8	green
118	--	20	0	red
119	--	20	0	red
120	--	20	3/8	red
121	--	20	3/4	green
122	C:M, inv:0	20	3/4	green
123	--	20	9/8	red
124	--	20	9/8	red
125	C:KeyMode.MAJOR	21	0	green
126	G:M, inv:0	21	0	green
127	--	21	3/8	yellow
128	F:KeyMode.MAJOR	21	3/4	green
129	C:M, inv:1	21	3/4	green
130	C:KeyMode.MAJOR	21	9/8	red
131	G:Mm7, inv:0	21	9/8	red
132	F:KeyMode.MAJOR	22	0	green
133	C:M, inv:0	22	0	yellow
134	--	22	3/8	green
135	C:KeyMode.MAJOR	22	3/4	green
136	G:M, inv:1	22	3/4	yellow
137	--	22	9/8	green
138	F:KeyMode.MAJOR	23	0	green
139	C:M, inv:1	23	0	yellow
140	--	23	3/8	yellow
141	C:KeyMode.MAJOR	23	3/4	green
142	G:M, inv:1	23	3/4	yellow
143	--	23	9/8	green
144	F:KeyMode.MAJOR	24	0	red
145	A:m, inv:1	24	0	red
146	F:M, inv:1	24	1/4	yellow
147	C:KeyMode.MAJOR	24	3/8	green
148	G:M, inv:1	24	3/8	red
149	F:KeyMode.MAJOR	24	5/8	red
150	C:M, inv:0	24	5/8	red
151	--	24	3/4	red
152	--	24	9/8	green
153	--	24	9/8	yellow
154	C:KeyMode.MAJOR	25	0	green
155	G:Mm7, inv:0	25	0	red
156	--	25	3/8	yellow
157	F:KeyMode.MAJOR	25	3/4	green
158	C:M, inv:0	25	3/4	green
159	--	27	0	yellow
160	--	27	3/8	green
161	--	27	3/4	yellow
162	--	27	9/8	green
163	--	28	0	yellow
164	--	28	3/8	red
165	--	28	1/2	red
166	--	28	3/4	red
167	--	28	7/8	red
168	--	28	9/8	red
169	F:M, inv:0	29	0	green
170	F:M, inv:1	29	9/8	green
171	Bb:KeyMode.MAJOR	30	0	green
172	F:Mm7, inv:0	30	0	yellow
173	--	30	3/8	red
174	--	30	3/8	red
175	--	30	3/4	red
176	--	30	1	green
177	--	30	1	green
178	--	30	9/8	red
179	--	30	9/8	red
180	--	30	5/4	red
181	--	30	5/4	red
182	F:KeyMode.MAJOR	31	0	green
183	C:M, inv:0	31	0	red
184	--	31	1/8	red
185	--	31	1/8	red
186	--	31	3/8	red
187	--	31	3/8	red
188	--	31	5/8	red
189	--	31	3/4	green
190	--	31	3/4	red
191	--	31	7/8	red
192	--	31	7/8	red
193	--	31	9/8	green
194	D:m, inv:0	31	9/8	green
195	d:KeyMode.MINOR	31	5/4	green
196	C#:o7, inv:3	31	5/4	red
197	A:M, inv:0	32	0	green
198	A:Mm7, inv:0	32	1	yellow
199	A:M, inv:0	32	9/8	green
200	A:Mm7, inv:0	32	11/8	yellow
201	A:M, inv:0	33	0	green
202	A:Mm7, inv:0	33	1	yellow
203	A:M, inv:0	33	9/8	green
204	A:Mm7, inv:0	34	0	yellow
205	A:M, inv:0	34	3/8	yellow
206	A:Mm7, inv:0	34	3/4	yellow
207	A:M, inv:0	34	9/8	yellow
208	F:KeyMode.MAJOR	34	11/8	red
209	C:M, inv:0	34	11/8	red
210	--	35	0	green
211	F:M, inv:0	35	0	red
212	D:m, inv:0	35	9/8	green
213	d:KeyMode.MINOR	36	0	green
214	A:M, inv:1	36	0	green
215	--	36	9/8	yellow
216	F:KeyMode.MAJOR	37	0	green
217	D:m, inv:0	37	0	green
218	d:KeyMode.MINOR	37	3/8	green
219	A:M, inv:0	37	3/8	green
220	--	37	3/4	red
221	--	37	3/4	red
222	--	37	9/8	red
223	F:KeyMode.MAJOR	38	0	green
224	F:M, inv:1	38	0	green
225	--	38	3/8	yellow
226	--	38	3/4	green
227	F:M, inv:0	38	9/8	green
228	Bb:KeyMode.MAJOR	39	0	green
229	F:Mm7, inv:2	39	0	green
230	--	39	3/8	yellow
231	F:Mm7, inv:0	39	1/2	green
232	F:KeyMode.MAJOR	39	3/4	green
233	Bb:M, inv:0	39	3/4	yellow
234	--	39	9/8	green
235	F:M, inv:0	40	0	green
236	--	40	3/8	red
237	--	40	3/8	red
238	g:KeyMode.MINOR	40	5/8	green
239	F#:o, inv:0	40	5/8	green
240	F:KeyMode.MAJOR	40	3/4	green
241	G:m, inv:0	40	3/4	yellow
242	G:m, inv:1	40	9/8	yellow
243	g:KeyMode.MINOR	41	0	green
244	D:Mm7, inv:0	41	0	yellow
245	--	41	3/4	red
246	--	41	3/4	red
247	F:KeyMode.MAJOR	41	9/8	green
248	G:m, inv:1	41	9/8	green
249	g:KeyMode.MINOR	42	0	red
250	D:M, inv:1	42	0	red
251	F:KeyMode.MAJOR	42	3/8	green
252	G:m, inv:0	42	3/8	green
253	g:KeyMode.MINOR	42	3/4	green
254	D:M, inv:0	42	3/4	yellow
255	--	42	9/8	green
256	D:Mm7, inv:0	44	0	yellow
257	D:M, inv:0	44	1/4	green
258	--	44	9/8	yellow
259	F:KeyMode.MAJOR	45	0	green
260	G:m, inv:0	45	0	yellow
261	G:m, inv:1	45	1/8	green
262	g:KeyMode.MINOR	45	3/8	green
263	D:Mm7, inv:0	45	3/8	yellow
264	F:KeyMode.MAJOR	45	3/4	green
265	G:m, inv:0	45	3/4	green
266	C:M, inv:1	46	0	green
267	C:Mm7, inv:0	46	3/8	green
268	--	46	3/4	red
269	F:M, inv:0	46	9/8	green
270	Bb:M, inv:1	47	0	green
271	G:m, inv:1	47	3/8	red
272	--	47	3/4	red
273	d:KeyMode.MINOR	47	9/8	red
274	C#:o, inv:1	47	9/8	red
275	F:KeyMode.MAJOR	48	0	green
276	C:Mm7, inv:0	48	0	red
277	--	48	3/8	red
278	--	48	5/8	red
279	--	48	3/4	red
280	--	48	9/8	red
281	--	48	11/8	yellow
282	F:M, inv:1	49	0	green
283	C:KeyMode.MAJOR	49	3/8	green
284	G:Mm7, inv:1	49	3/8	green
285	F:KeyMode.MAJOR	49	3/4	red
286	A:m, inv:1	49	3/4	red
287	C:KeyMode.MAJOR	49	9/8	green
288	B:o, inv:1	49	9/8	green
289	F:KeyMode.MAJOR	50	0	green
290	C:M, inv:0	50	0	green
291	--	50	3/8	yellow
292	--	50	3/4	red
293	Bb:KeyMode.MAJOR	50	9/8	red
294	F:Mm7, inv:0	50	9/8	yellow
295	F:KeyMode.MAJOR	50	5/4	green
296	C:Mm7, inv:2	50	5/4	red
297	Bb:KeyMode.MAJOR	51	0	red
298	F:M, inv:1	51	0	yellow
299	--	51	3/8	yellow
300	F:KeyMode.MAJOR	51	3/4	green
301	C:M, inv:0	51	3/4	yellow
302	--	51	9/8	green
303	Bb:KeyMode.MAJOR	52	0	red
304	F:M, inv:0	52	0	yellow
305	--	52	3/8	green
306	--	52	3/4	red
307	F:KeyMode.MAJOR	52	9/8	green
308	C:M, inv:1	52	9/8	yellow
309	Bb:KeyMode.MAJOR	53	0	red
310	F:M, inv:0	53	0	red
311	--	53	3/8	red
312	--	53	3/4	red
313	--	53	9/8	yellow
314	F:M, inv:1	53	11/8	yellow
315	Bb:M, inv:0	54	0	red
316	F:KeyMode.MAJOR	54	1/4	green
317	C:Mm7, inv:0	54	1/4	red
318	--	54	3/8	green
319	Bb:KeyMode.MAJOR	54	3/4	red
320	F:M, inv:0	54	3/4	green
