time,matched_duration,annotation1_chord,annotation2_chord,dcml_label,sps,vl,tbt,binary
0.0,0.25,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
0.25,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
0.3125,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
0.375,0.75,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
1.125,0.375,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
1.5,0.25,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
1.75,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
1.8125,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
1.875,0.375,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
2.25,0.25,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
2.5,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
2.5625,0.0625,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
2.625,0.375,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
3.0,0.375,F_MINOR_inv0,F_MINOR_inv0,f.i{,0.0,0.0,0.0,0
3.375,0.625,C_MAJOR_inv1,C_MAJOR_inv1,V6,0.0,0.0,0.0,0
4.0,0.125,C_MAJOR_inv1,C_MAJOR_inv1,V6,0.0,0.0,0.0,0
4.125,0.5625,B_DIM7_inv2,B_DIM7_inv2,viio43/V,0.0,0.0,0.0,0
4.6875,0.0625,B_DIM7_inv2,B_DIM7_inv2,viio43/V,0.0,0.0,0.0,0
4.75,0.0625,B_DIM7_inv2,B_DIM7_inv2,viio43/V,0.0,0.0,0.0,0
4.8125,0.0625,B_DIM7_inv2,B_DIM7_inv2,viio43/V,0.0,0.0,0.0,0
4.875,1.125,C_MAJOR_inv1,C_MAJOR_inv1,V6|HC},0.0,0.0,0.0,0
6.0,0.25,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
6.25,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
6.3125,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
6.375,0.75,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
7.125,0.375,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
7.5,0.25,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
7.75,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
7.8125,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
7.875,0.375,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
8.25,0.25,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
8.5,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
8.5625,0.0625,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
8.625,0.375,Gb_MAJOR_inv0,Gb_MAJOR_inv0,bII.I{,0.0,0.0,0.0,0
