time,matched_duration,annotation1_chord,annotation2_chord,dcml_label,sps,vl,tbt,binary
0.0,0.0625,E_MAJOR_inv0,E_MAJOR_inv0,E.I{,0.0,0.0,0.0,0
0.0625,0.0625,E_MAJOR_inv0,E_MAJOR_inv0,E.I{,0.0,0.0,0.0,0
0.125,0.0625,E_MAJOR_inv0,E_MAJOR_inv0,E.I{,0.0,0.0,0.0,0
0.1875,0.0625,E_MAJOR_inv0,E_MAJOR_inv0,E.I{,0.0,0.0,0.0,0
0.25,0.0625,B_MAJOR_inv1,B_MAJOR_inv1,V6,0.0,0.0,0.0,0
0.3125,0.0625,B_MAJOR_inv1,B_MAJOR_inv1,V6,0.0,0.0,0.0,0
0.375,0.0625,B_MAJOR_inv1,B_MAJOR_inv1,V6,0.0,0.0,0.0,0
0.4375,0.0625,B_MAJOR_inv1,B_MAJOR_inv1,V6,0.0,0.0,0.0,0
0.5,0.0625,Db_MINOR_inv0,Db_MINOR_inv0,vi,0.0,0.0,0.0,0
0.5625,0.0625,Db_MINOR_inv0,Db_MINOR_inv0,vi,0.0,0.0,0.0,0
0.625,0.0625,Db_MINOR_inv0,Db_MINOR_inv0,vi,0.0,0.0,0.0,0
0.6875,0.0625,Db_MINOR_inv0,Db_MINOR_inv0,vi,0.0,0.0,0.0,0
0.75,0.0625,Ab_MINOR_inv1,Ab_MINOR_inv1,iii6,0.0,0.0,0.0,0
0.8125,0.0625,Ab_MINOR_inv1,Ab_MINOR_inv1,iii6,0.0,0.0,0.0,0
0.875,0.0625,Ab_MINOR_inv1,Ab_MINOR_inv1,iii6,0.0,0.0,0.0,0
0.9375,0.0625,Ab_MINOR_inv1,Ab_MINOR_inv1,iii6,0.0,0.0,0.0,0
1.0,0.0625,A_MAJOR_inv0,A_MAJOR_inv0,IV,0.0,0.0,0.0,0
1.0625,0.0625,A_MAJOR_inv0,A_MAJOR_inv0,IV,0.0,0.0,0.0,0
1.125,0.0625,A_MAJOR_inv0,A_MAJOR_inv0,IV,0.0,0.0,0.0,0
1.1875,0.0625,A_MAJOR_inv0,A_MAJOR_inv0,IV,0.0,0.0,0.0,0
1.25,0.0625,E_MAJOR_inv1,E_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.3125,0.0625,E_MAJOR_inv1,E_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.375,0.0625,E_MAJOR_inv1,E_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.4375,0.0625,E_MAJOR_inv1,E_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.5,0.0625,B_MAJ_MIN7_inv0,B_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
1.5625,0.0625,B_MAJ_MIN7_inv0,B_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
1.625,0.0625,B_MAJ_MIN7_inv0,B_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
1.6875,0.0625,B_MAJ_MIN7_inv0,B_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
