time,matched_duration,annotation1_chord,annotation2_chord,dcml_label,sps,vl,tbt,binary
0.0,0.375,Ab_MAJOR_inv0,Ab_MAJOR_inv0,Ab.I{,0.0,0.0,0.0,0
0.375,0.125,Ab_MAJOR_inv0,Ab_MAJOR_inv1,I6,0.03107662202673367,12.0,0.2857142857142857,1
0.5,0.1875,Ab_MAJOR_inv0,Ab_MAJOR_inv1,I6,0.03107662202673367,12.0,0.2857142857142857,1
0.6875,0.0625,Ab_MAJOR_inv0,Ab_MAJOR_inv1,I6,0.03107662202673367,12.0,0.2857142857142857,1
0.75,0.25,Eb_MAJ_MIN7_inv2,Eb_MAJ_MIN7_inv2,V43,0.0,0.0,0.0,0
1.0,0.5,Eb_MAJ_MIN7_inv2,Eb_MAJ_MIN7_inv3,V2,0.10422675594363429,9.0,0.25,1
1.5,0.125,Ab_MAJOR_inv1,Ab_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.625,0.125,Ab_MAJOR_inv1,Ab_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.75,0.125,Ab_MAJOR_inv1,Ab_MAJOR_inv1,I6,0.0,0.0,0.0,0
1.875,0.125,Ab_MAJOR_inv1,Bb_MIN_MIN7_inv2,ii43,0.6786571295809294,20.0,0.875,1
2.0,0.125,Ab_MAJOR_inv1,Ab_MAJOR_inv2,I64,0.16803907452565991,9.0,0.2857142857142857,1
2.125,0.125,Ab_MAJOR_inv1,Db_MAJOR_inv0,IV,0.5986970365369391,5.0,0.8571428571428572,1
2.25,0.1875,Eb_MAJ_MIN7_inv0,Eb_MAJOR_inv0,V,0.02300715156455202,2.0,0.125,1
2.4375,0.0625,Eb_MAJ_MIN7_inv0,Eb_MAJOR_inv0,V,0.02300715156455202,2.0,0.125,1
2.5,0.125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
2.625,0.03125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
2.65625,0.03125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
2.6875,0.03125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
2.71875,0.03125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
2.75,0.125,Eb_MAJ_MIN7_inv0,Eb_MAJ_MIN7_inv0,V7,0.0,0.0,0.0,0
