	label	mc	mc_onset	color_name
0	A:KeyMode.MAJOR	1	0	green
1	A:M, inv:0	1	0	green
2	A:M, inv:2	1	3/8	yellow
3	A:M, inv:0	2	0	green
4	E:Mm7, inv:0	3	0	green
5	A:M, inv:0	4	0	green
6	A:M, inv:2	4	3/8	yellow
7	A:M, inv:0	5	0	green
8	A:M, inv:2	5	3/8	yellow
9	A:M, inv:0	6	0	green
10	E:Mm7, inv:0	7	0	green
11	A:M, inv:0	8	0	green
12	D:KeyMode.MAJOR	8	3/8	red
13	A:Mm7, inv:0	8	3/8	yellow
14	--	8	5/8	red
15	A:KeyMode.MAJOR	9	0	green
16	D:M, inv:0	9	0	green
17	--	9	3/8	yellow
18	A:M, inv:0	10	0	green
19	D:M, inv:0	11	0	green
20	A:M, inv:0	11	3/8	red
21	D:KeyMode.MAJOR	12	0	red
22	A:Mm7, inv:0	12	0	yellow
23	A:M, inv:0	12	3/8	green
24	--	12	5/8	red
25	A:KeyMode.MAJOR	13	0	green
26	E:Mm7, inv:0	13	0	green
27	--	13	1/4	red
28	D:KeyMode.MAJOR	13	3/8	red
29	A:M, inv:0	13	3/8	green
30	--	13	5/8	yellow
31	A:KeyMode.MAJOR	14	0	green
32	E:Mm7, inv:2	14	0	green
33	D:KeyMode.MAJOR	14	1/8	red
34	A:M, inv:0	14	1/8	green
35	--	14	1/4	red
36	--	14	3/8	green
37	--	14	1/2	red
38	--	14	5/8	red
39	A:KeyMode.MAJOR	15	0	green
40	E:M, inv:0	15	0	green
41	--	15	1/4	red
42	D:KeyMode.MAJOR	15	3/8	red
43	A:M, inv:0	15	3/8	green
44	--	15	5/8	yellow
45	A:KeyMode.MAJOR	16	0	green
46	E:Mm7, inv:2	16	0	green
47	D:KeyMode.MAJOR	16	1/8	red
48	A:M, inv:0	16	1/8	green
49	--	16	1/4	red
50	--	16	3/8	green
51	--	16	1/2	red
52	--	16	5/8	red
53	A:KeyMode.MAJOR	17	0	green
54	E:M, inv:0	17	0	green
55	--	17	1/4	red
56	D:KeyMode.MAJOR	17	3/8	red
57	A:M, inv:0	17	3/8	green
58	--	17	5/8	yellow
59	D:M, inv:0	18	0	green
60	--	18	1/4	yellow
61	A:KeyMode.MAJOR	18	3/8	green
62	E:M, inv:0	18	3/8	green
63	--	18	5/8	red
64	D:KeyMode.MAJOR	19	0	red
65	A:M, inv:0	19	0	green
66	A:KeyMode.MAJOR	19	1/4	green
67	E:M, inv:1	19	1/4	red
68	D:KeyMode.MAJOR	19	3/8	red
69	A:M, inv:0	19	3/8	red
70	--	19	5/8	red
71	--	19	5/8	red
72	--	20	0	red
73	D:M, inv:0	20	0	yellow
74	A:KeyMode.MAJOR	20	1/4	green
75	E:M, inv:0	20	1/4	green
76	D:KeyMode.MAJOR	20	3/8	red
77	A:M, inv:0	20	3/8	red
78	--	20	5/8	green
79	A:KeyMode.MAJOR	21	0	green
80	E:Mm7, inv:0	21	0	green
81	D:KeyMode.MAJOR	21	1/4	red
82	A:M, inv:0	21	1/4	green
83	A:KeyMode.MAJOR	21	3/8	green
84	E:M, inv:0	21	3/8	green
85	--	21	5/8	red
86	E:Mm7, inv:0	22	0	green
87	--	22	1/4	red
88	E:M, inv:0	22	3/8	green
89	E:KeyMode.MAJOR	22	5/8	green
90	B:Mm7, inv:3	22	5/8	green
91	A:KeyMode.MAJOR	23	0	red
92	E:M, inv:0	23	0	green
93	E:KeyMode.MAJOR	23	1/4	green
94	B:Mm7, inv:3	23	1/4	green
95	A:KeyMode.MAJOR	23	3/8	red
96	E:M, inv:0	23	3/8	green
97	E:KeyMode.MAJOR	23	5/8	green
98	B:Mm7, inv:0	23	5/8	yellow
99	A:KeyMode.MAJOR	24	0	red
100	E:M, inv:0	24	0	green
101	E:Mm7, inv:0	25	0	yellow
102	--	25	1/2	green
103	--	25	1/2	green
104	A:M, inv:0	26	0	green
105	A:MM7, inv:0	26	1/4	yellow
106	A:M, inv:0	26	3/8	green
107	A:M, inv:2	27	0	yellow
108	A:M, inv:0	27	3/8	green
109	E:Mm7, inv:0	28	0	green
110	A:M, inv:0	29	0	green
111	--	30	0	red
112	F#:m, inv:0	30	0	green
113	F#:mm7, inv:0	30	1/4	yellow
114	E:KeyMode.MAJOR	30	3/8	green
115	D#:o, inv:1	30	3/8	red
116	A:KeyMode.MAJOR	31	0	red
117	E:M, inv:1	31	0	red
118	E:KeyMode.MAJOR	31	3/8	green
119	B:M, inv:1	31	3/8	red
120	B:M, inv:0	32	0	green
121	A:KeyMode.MAJOR	32	1/4	red
122	G#:m, inv:1	32	1/4	red
123	E:KeyMode.MAJOR	32	3/8	green
124	B:M, inv:0	32	3/8	green
125	A:KeyMode.MAJOR	33	0	red
126	E:M, inv:0	33	0	green
127	--	33	1/4	yellow
128	--	33	3/8	red
129	--	33	1/2	yellow
130	E:KeyMode.MAJOR	33	5/8	green
