	label	mc	mc_onset	color_name
0	D:KeyMode.MAJOR	1	0	yellow
1	C#:o7, inv:0	1	0	green
2	A:Mm7, inv:1	1	1/4	red
3	C#:o7, inv:0	1	7/16	green
4	b:KeyMode.MINOR	1	1/2	red
5	A#:o7, inv:0	1	1/2	red
6	D:KeyMode.MAJOR	2	0	yellow
7	C#:o7, inv:0	2	0	green
8	A:Mm7, inv:1	3	0	red
9	b:KeyMode.MINOR	3	1/2	red
10	A#:o7, inv:1	3	1/2	red
11	D:KeyMode.MAJOR	4	0	yellow
12	C#:o7, inv:0	4	0	green
13	A:Mm7, inv:1	5	0	red
14	b:KeyMode.MINOR	5	1/2	red
15	A#:o7, inv:1	5	1/2	red
16	D:KeyMode.MAJOR	6	0	yellow
17	C#:o7, inv:0	6	0	green
18	A:Mm7, inv:1	7	0	red
19	b:KeyMode.MINOR	7	1/2	red
20	A#:o7, inv:1	7	1/2	red
21	D:KeyMode.MAJOR	8	0	yellow
22	C#:o7, inv:0	8	0	green
23	b:KeyMode.MINOR	8	1/2	red
24	A#:o7, inv:1	8	1/2	red
25	D:KeyMode.MAJOR	9	0	red
26	D:m, inv:0	9	0	green
27	--	9	3/4	yellow
28	--	9	7/8	yellow
29	--	9	7/8	red
30	A:Mm7, inv:2	10	0	red
31	--	10	1/8	red
32	--	10	1/8	red
33	--	10	1/4	red
34	--	10	3/8	yellow
35	--	10	3/8	red
36	D:m, inv:1	10	1/2	red
37	--	10	5/8	red
38	--	10	5/8	yellow
39	C#:o7, inv:1	10	3/4	red
40	--	10	7/8	yellow
41	--	10	7/8	red
42	--	11	0	red
43	D:m, inv:0	11	0	green
44	C#:o7, inv:0	11	1/4	red
45	--	11	3/8	yellow
46	--	11	3/8	green
47	D:m, inv:0	11	1/2	red
48	--	11	5/8	red
49	--	11	5/8	green
50	E:%7, inv:0	11	3/4	red
51	--	11	7/8	yellow
52	--	11	7/8	yellow
53	D:m, inv:1	12	0	red
54	--	12	1/8	red
55	--	12	1/8	yellow
56	--	12	3/8	yellow
57	--	12	3/8	red
58	--	12	5/8	red
59	--	12	5/8	green
60	--	12	3/4	yellow
61	A:M, inv:0	12	3/4	red
62	--	12	7/8	red
63	--	12	7/8	red
64	F:KeyMode.MAJOR	13	0	green
65	C:Mm7, inv:1	13	0	green
66	C:M, inv:1	14	0	yellow
67	C:KeyMode.MAJOR	14	1/2	red
68	G:Mm7, inv:3	14	1/2	red
69	F:KeyMode.MAJOR	15	0	green
70	C:M, inv:1	15	0	green
71	C:M, inv:0	16	0	yellow
72	C:M, inv:1	16	1/2	green
73	Bb:M, inv:1	17	0	green
74	Bb:Mm7, inv:1	18	0	yellow
75	Bb:M, inv:1	18	1/2	green
76	C:Mm7, inv:0	19	0	green
77	C:M, inv:0	19	1/2	yellow
78	C:Mm7, inv:0	20	0	green
79	--	21	0	red
80	A:M, inv:1	21	0	yellow
81	--	21	1/4	green
82	--	21	3/8	red
83	d:KeyMode.MINOR	21	1/2	green
84	C#:o7, inv:1	21	1/2	red
85	--	21	5/8	red
86	--	21	7/8	red
87	C#:o7, inv:0	22	0	red
88	--	22	1/8	red
89	F:KeyMode.MAJOR	22	1/4	red
90	Bb:MM7, inv:0	22	1/4	red
91	--	22	3/8	red
92	d:KeyMode.MINOR	22	1/2	green
93	C#:o7, inv:2	22	1/2	yellow
94	--	22	5/8	red
95	--	22	7/8	yellow
96	F:KeyMode.MAJOR	23	0	red
97	D:m, inv:0	23	0	green
98	--	23	3/8	red
99	--	23	3/8	red
100	--	23	5/8	red
101	--	23	5/8	green
102	--	23	7/8	red
103	--	23	7/8	red
104	d:KeyMode.MINOR	24	0	green
105	C#:o7, inv:3	24	0	red
106	--	24	1/8	red
107	--	24	1/8	red
108	F:KeyMode.MAJOR	24	1/4	red
109	D:m, inv:0	24	1/4	green
110	--	24	3/8	yellow
111	--	24	5/8	yellow
112	--	24	7/8	green
113	a:KeyMode.MINOR	25	0	green
114	G#:o, inv:0	25	0	red
115	E:Mm7, inv:1	25	1/4	yellow
116	--	25	3/8	red
117	E:Mm7, inv:0	25	1/2	red
118	--	25	5/8	yellow
119	E:Mm7, inv:1	25	3/4	yellow
120	--	25	7/8	red
121	G#:o7, inv:1	26	0	red
122	--	26	1/8	red
123	E:Mm7, inv:1	26	1/4	yellow
124	--	26	3/8	red
125	--	26	5/8	yellow
126	--	26	7/8	red
127	B:o, inv:0	27	0	green
128	--	27	1/8	red
129	C:KeyMode.MAJOR	27	1/4	red
