mc	mc_onset	color_name	label
1	0	black	Eb_dcml
1	0	red	Eb_fh
1	1/4	black	Bb
1	1/4	red	Bb
2	0	black	c
2	0	red	c
2	3/8	red	Ab_1
3	0	black	eo7_2
3	0	red	eo_2
3	1/8	red	eo7_2
3	1/4	black	F_1
3	1/4	red	F_1
3	3/8	black	Gb
3	3/8	red	D7
4	0	black	c_2
4	0	red	G
4	1/8	black	gbo7_1
4	1/8	red	gbo7_1
4	1/4	black	G
4	1/4	red	G
5	0	black	c_2
5	1/8	black	gbo7_1
5	1/8	red	gbo7_1
5	1/4	black	G
5	1/4	red	G
5	3/8	black	g
5	3/8	red	g
6	0	black	Bb7_2
6	0	red	Bb7_2
6	1/8	black	Eb
6	1/8	red	Eb
6	1/4	black	Bb_1
6	1/4	red	Bb_1
6	3/8	black	Bb7
6	3/8	red	Bb7
7	0	black	eo7_2
7	0	red	eo7_2
7	1/4	black	Bb7
7	1/4	red	Bb7
8	0	black	B
8	0	red	B
9	0	black	Gb7_2
9	0	red	Gb7_2
9	1/4	black	B
9	1/4	red	B
9	3/8	black	eb_2
9	3/8	red	eb_2
10	0	black	ao7
10	0	red	ao7
10	1/8	red	F7_1
10	1/4	black	Bb
10	1/4	red	Bb
10	3/8	black	bb%7_3
10	3/8	red	bb%7_3
11	0	black	go7
11	0	red	go7
11	1/8	black	Eb7_1
11	1/8	red	Eb7_1
11	1/4	black	ab
11	1/4	red	ab
11	3/8	black	eb_1
11	3/8	red	eb_1
12	0	black	Bb7_2
12	0	red	Bb7_2
12	3/8	black	eb
12	3/8	red	eb
13	0	black	Bb_1
13	0	red	Bb_1
13	5/16	red	Bb7_2
13	3/8	black	eb
13	3/8	red	eb
14	0	black	Bb_1
14	0	red	Bb_1
14	3/8	black	Eb7_3
14	3/8	red	Eb7_3
14	7/16	black	ab_1
14	7/16	red	ab_1
15	5/16	black	Bb_1
15	5/16	red	Bb_1
15	3/8	black	Eb7_3
15	3/8	red	Eb7_3
15	7/16	black	Ab_1
15	7/16	red	Ab_1
17	3/4	black	G7_1
17	3/4	red	G_1
17	7/8	red	go_1
18	0	black	go_1
18	1/4	black	F_1
18	1/4	red	F_1
18	3/8	red	fo_1
