mc	mc_onset	color_name	label
1	0	black	Gb_dcml
1	0	red	Gb_fh
1	7/16	black	Gb
1	7/16	red	fo_2
2	0	black	fo_2
2	1/4	black	Gb
2	1/4	red	Gb
2	3/8	black	Gb7
2	3/8	red	Gb7
3	0	black	B_1
3	0	red	B_1
3	1/4	black	Db_1
3	1/4	red	f%7
3	7/16	red	Db_1
4	0	black	Gb
4	0	red	Gb
5	3/4	red	Gb_1
6	0	red	Gb
6	1/2	red	Db7_3
6	3/4	red	Gb
7	0	black	Db7
7	0	red	Db7
7	3/4	red	Db
8	0	black	Gb
8	0	red	Gb
8	1/4	black	B
8	1/4	red	B
8	1/2	black	Gb_1
8	1/2	red	Gb
8	3/4	black	eb_1
8	3/4	red	B_1
9	0	black	Db
9	0	red	Db
9	1/4	black	Gb
9	1/4	red	B
9	1/2	red	Gb
10	0	black	Db7
10	0	red	Db7_2
10	1/4	red	Db7
10	1/2	red	Db
10	3/4	red	Db7_2
11	0	black	Gb_1
11	0	red	Gb_1
11	3/4	red	Gb
12	0	black	Db7_3
12	0	red	ab_1
12	1/2	black	Db7
12	1/2	red	Db
12	3/4	red	Db7
13	0	black	Gb
13	0	red	Gb
13	1/4	black	Db
13	1/4	red	Db
13	1/2	black	Gb
13	1/2	red	Gb
14	1/2	black	ab_1
14	1/2	red	ab_1
15	0	black	Db
15	0	red	Db
15	1/4	black	Gb
15	1/4	red	Gb
15	1/2	black	Db7
15	1/2	red	Db7
16	0	black	Db7_1
16	0	red	Db7_1
16	1/2	black	Db7
16	1/2	red	Db7
17	0	black	Gb
17	0	red	Gb
17	1/4	red	Gb_1
17	1/2	red	Gb
18	0	black	do_1
18	0	red	fo_1
19	0	black	Bb7_3
19	0	red	Bb7_3
19	1/2	black	Bb7_2
19	1/2	red	Bb7_2
19	3/4	black	Bb7
19	3/4	red	Bb7
20	0	black	eb_2
20	0	red	Bb
20	1/4	black	do_2
20	1/4	red	Bb7_3
20	1/2	black	eb_1
20	1/2	red	eb_1
21	0	black	ao7_3
21	0	red	ao7_3
21	1/4	black	Ab7_3
21	1/4	red	Ab7_3
21	1/2	black	ao7_3
21	1/2	red	ao7_3
21	3/4	black	Ab7_3
21	3/4	red	Ab7_3
22	0	black	ao7_3
22	0	red	ao7_3
22	1/4	black	Ab7_3
22	1/4	red	Ab7_3
22	1/2	red	Ab7_2
22	3/4	black	eb_1
22	3/4	red	eb_1
23	0	black	ao7_3
23	0	red	ao7_3
23	1/4	black	Ab7_3
23	1/4	red	Ab7_3
23	1/2	black	ao7_3
23	1/2	red	ao7_3
23	3/4	black	Ab7_3
23	3/4	red	Ab7_3
24	0	black	ao7_3
24	0	red	ao7_3
24	1/4	black	Ab7_3
24	1/4	red	Ab7_3
24	1/2	red	Ab7_2
24	3/4	black	eb_1
24	3/4	red	eb_1
25	0	black	Ab7_3
25	0	red	Ab7_3
25	1/4	black	Db_1
25	1/4	red	Db_1
26	0	black	go7_3
27	0	black	G
27	0	red	go7_1
28	0	black	Ab7
28	0	red	Ab7
29	0	black	Db
29	0	red	Db
29	3/4	black	Gb
30	0	black	Db
30	3/4	black	Ab7
30	3/4	red	Ab7
31	0	black	Db
31	0	red	Db
31	3/4	black	Gb
32	0	black	Db
32	1/2	black	Bb7
32	1/2	red	Bb7
32	3/4	black	eb
32	3/4	red	eb
33	0	black	Ab7
33	0	red	Ab7
34	0	black	Db
34	0	red	Db
34	1/2	black	Bb7
34	1/2	red	Bb
34	3/4	black	eb
34	3/4	red	eb
35	0	black	Ab7
35	0	red	Ab7
36	0	black	Db
36	0	red	Db
36	1/4	red	Db_1
36	1/2	black	Ab7
36	1/2	red	Ab7
37	0	black	Db
37	0	red	Db
37	1/4	red	Db_1
37	1/2	red	Ab7_3
37	3/4	black	Ab7
38	0	black	Db
38	1/4	black	Ab7
38	1/4	red	Ab7
38	1/2	black	Db
38	3/4	black	Ab7
41	0	black	Db
41	1/4	black	Db7_2
41	1/4	red	Db7_1
41	3/4	red	gb_1
41	15/16	red	fo_1
42	0	black	gb
42	0	red	gb
42	1/2	red	Db7_3
42	3/4	red	gb
43	0	black	b
43	0	red	b
43	3/4	black	D_2
43	3/4	red	D_2
44	0	black	E7_1
44	0	red	E7_1
44	1/4	red	b_2
44	1/2	black	E
44	1/2	red	E
44	3/4	red	E_1
45	0	black	A
45	0	red	A
45	1/2	black	db_2
45	1/2	red	db_2
46	0	black	Eb7_1
46	0	red	Eb7_1
46	1/4	black	ab_1
46	1/4	red	ab_1
46	3/4	red	ab
47	0	black	ab
47	1/2	red	Eb7_2
47	3/4	red	ab
48	0	black	do7
48	0	red	do7
49	3/4	black	Bb7_1
49	3/4	red	Bb_1
50	0	black	eb
50	0	red	eb
50	1/2	black	do_1
50	1/2	red	do_1
50	3/4	black	Bb7_1
50	3/4	red	Bb_1
51	0	black	eb
51	0	red	eb
51	1/2	black	co_1
51	1/2	red	Ab7_2
51	3/4	black	Ab7_1
51	3/4	red	Ab_1
52	0	black	db
52	0	red	db
52	1/2	black	co_1
52	1/2	red	co_1
52	3/4	black	Ab7_1
52	3/4	red	Ab_1
53	0	black	db
53	0	red	db
53	1/2	black	Gb7_2
53	1/2	red	Gb7_2
53	3/4	black	Gb7_1
53	3/4	red	Gb_1
54	0	black	B
54	0	red	B
54	1/4	black	Gb7_1
54	1/4	red	Gb_1
54	1/2	black	B
54	1/2	red	B
54	3/4	black	Gb_1
54	3/4	red	Gb
55	0	black	B
55	0	red	B
55	1/2	black	fo7
55	1/2	red	fo
56	1/4	red	ab
56	3/4	red	B
57	1/4	red	fo
57	3/4	red	co
58	0	black	Db7
58	0	red	Db
59	0	red	Db_2
59	1/2	red	Db
59	3/4	red	Gb_1
59	15/16	red	fo_1
60	0	black	Gb
60	0	red	Gb
60	1/2	red	Db7_3
60	3/4	red	Gb
61	0	black	Db7
61	0	red	Db7
61	3/4	red	Db
62	0	black	Gb
62	0	red	Gb
62	1/4	black	B
62	1/4	red	B
62	1/2	black	Gb_1
62	1/2	red	Gb
62	3/4	black	eb_1
62	3/4	red	B_1
63	0	black	Db
63	0	red	Db
63	1/4	black	Gb
63	1/4	red	B
63	1/2	red	Gb
64	0	black	Db7
64	0	red	Db7_2
64	1/4	red	Db7
64	1/2	red	Db
64	3/4	red	Db7_2
65	0	black	Gb_1
65	0	red	Gb_1
65	3/4	red	Gb
66	0	black	Eb7
66	0	red	Eb7_2
66	1/4	red	Eb7
66	1/2	red	Eb
66	3/4	red	Eb7_2
67	0	black	ab_1
67	0	red	ab_1
67	3/4	black	E_1
67	3/4	red	E_1
68	0	black	gb_1
68	0	red	gb_1
68	1/2	black	B7
68	1/2	red	B7
69	0	black	E
69	0	red	E
69	1/4	black	B
69	1/4	red	B
69	1/2	black	E
69	1/2	red	E
70	1/2	black	gb_1
70	1/2	red	gb_1
