mc	mc_onset	color_name	label
1	0	black	c_dcml
1	0	red	c_fh
4	1/2	black	G7_2
4	1/2	red	G7_2
5	0	black	bo7_1
5	0	red	bo7_1
8	1/2	black	c_1
8	1/2	red	c_1
10	0	black	bo7_2
10	0	red	bo7_2
10	1/2	black	c_1
10	1/2	red	c_1
12	0	black	bo7_2
12	0	red	bo7_2
12	1/2	black	c_1
12	1/2	red	c_1
14	0	black	bo7_2
14	0	red	bo7_2
14	1/2	black	c_1
14	1/2	red	c_1
15	0	black	bo_1
15	0	red	bo_1
15	1/2	black	Ab_1
15	1/2	red	Ab_1
16	0	black	bo7
16	0	red	G_1
16	1/4	black	G_1
17	1/4	black	bo7
17	1/4	red	bo7
18	0	black	c
18	0	red	c
19	1/4	black	do_1
19	1/4	red	do_1
20	0	black	G
20	0	red	c_2
21	1/4	black	G7
21	1/4	red	G7
22	0	black	c
22	0	red	c
24	0	black	G_1
24	0	red	G_1
26	0	black	c
26	0	red	c
27	1/2	black	c_1
27	1/2	red	c_1
28	0	black	do_1
28	0	red	do_1
29	0	black	G
29	0	red	G
30	0	black	c
30	0	red	c
32	0	black	Eb
32	0	red	Ab_2
33	0	black	Eb7_3
33	0	red	Eb7_3
34	0	black	Ab_1
34	0	red	Ab_1
35	0	black	Eb7_2
35	0	red	g%7_1
36	0	black	Ab
36	0	red	Ab
37	0	black	C7_3
37	0	red	C7_3
38	0	black	f_1
38	0	red	f_1
39	0	black	C7_2
39	0	red	eo7_1
40	0	black	f
40	0	red	f
41	0	black	Ab7_3
41	0	red	Ab7_3
42	0	black	Db_1
42	0	red	Db_1
43	0	black	Ab7_2
43	0	red	c%7_1
44	0	black	Db
44	0	red	Db
45	0	black	F7
45	0	red	A
46	0	black	Bb
46	0	red	Bb
47	0	black	ao7
47	0	red	ao7
48	0	black	Bb
48	0	red	Bb
49	0	black	Bb7
49	0	red	Bb7
50	0	black	g_1
50	0	red	Eb_2
51	0	black	Bb7
51	0	red	Bb7
52	0	black	Eb
52	0	red	Eb_2
53	0	black	Bb7
53	0	red	f
54	0	black	g_1
54	0	red	Eb_2
55	0	black	Bb7
55	0	red	Bb7
56	0	black	Eb
56	0	red	Eb
58	0	black	Bb7_2
58	0	red	Bb7_2
60	0	black	Bb_1
60	0	red	Bb7_1
60	1/2	black	Eb
61	0	black	Bb_1
61	1/2	black	Bb7_2
62	0	black	Eb
62	0	red	Eb
66	0	black	Bb7_2
66	0	red	Bb7_2
68	0	black	Bb_1
68	0	red	Bb_1
70	0	black	Eb
70	0	red	Eb
71	0	black	Eb_1
71	0	red	Eb_1
72	0	black	Ab
72	0	red	Ab
73	0	black	ao
73	0	red	ao
74	0	black	Bb
74	0	red	Eb_2
75	0	black	Bb7
75	0	red	Bb7
76	0	black	Eb
76	0	red	Eb
78	0	black	Eb_1
78	0	red	Eb_1
78	1/2	black	Eb_2
79	0	black	Eb_1
79	1/2	black	Eb_2
80	0	black	Ab
80	0	red	Ab
80	1/2	black	Ab_1
81	0	black	ao
81	0	red	ao
81	1/2	black	ao_1
82	0	black	Bb
82	0	red	Eb_2
82	1/2	black	G_1
83	0	black	c
83	0	red	ao_1
83	1/2	black	ao
84	0	black	Bb
84	0	red	Eb_2
84	1/2	black	G_1
85	0	black	c
85	0	red	ao_1
85	1/2	black	ao
86	0	black	Bb
86	0	red	Eb_2
87	0	red	gbo7_2
87	1/4	black	gbo7_2
88	0	red	Eb_2
88	1/4	black	Bb
89	0	red	gbo7_1
89	1/4	black	gbo7_1
90	0	red	Eb_2
90	1/4	black	Bb
93	0	red	Bb7
93	1/2	black	Bb7
94	0	black	Eb
94	0	red	Eb
94	1/4	black	Bb
95	0	black	Bb7_3
95	0	red	Bb7_2
95	1/2	black	Bb7_2
96	0	black	Eb
96	0	red	Eb
97	0	black	Bb7
97	0	red	Bb7
98	0	black	Eb
98	0	red	Eb
99	0	black	Bb7_3
99	0	red	Bb7_2
99	1/2	black	Bb7_2
100	0	black	Eb
100	0	red	Eb
101	0	black	Bb7
101	0	red	Bb7
102	0	black	Eb
102	0	red	Eb
103	0	black	Bb7
103	0	red	Bb7
104	0	black	Eb
104	0	red	Eb
106	0	black	C
106	0	red	C
108	1/2	black	C_1
109	0	red	C_1
109	1/2	black	bo7_2
109	1/2	red	bo7_2
112	1/2	black	do_1
113	0	red	do_1
113	1/2	black	eo7_1
113	1/2	red	eo7_1
116	0	black	eo_1
117	0	black	eo
118	0	black	f
118	0	red	f
120	0	black	C7_2
120	0	red	go
121	0	black	C7_1
121	0	red	C7_1
122	0	black	C
122	0	red	C7
123	0	black	C7_1
123	0	red	C7_1
124	0	black	f
124	0	red	f
125	1/2	black	F7_3
125	1/2	red	F7_3
126	0	black	bb_1
126	0	red	bb_1
127	0	black	bb
127	0	red	bb
128	0	black	F7_2
128	0	red	co
129	0	black	F7_1
129	0	red	F7_1
130	0	black	F
130	0	red	F
131	0	black	F7_1
131	0	red	F7_1
132	0	black	bb
132	0	red	bb
134	0	black	Ab7
134	0	red	Ab7
136	0	black	Db
136	0	red	Db
137	0	black	f_1
137	0	red	Ab7_2
138	0	black	Db_1
138	0	red	Db_1
139	0	red	Ab7_1
140	0	black	Db
140	0	red	Db
141	0	red	ao
141	1/2	black	ao
142	0	black	bb
142	0	red	bb
143	0	black	go
143	0	red	go
144	0	black	C7_1
144	0	red	C7_1
145	0	black	C7
145	0	red	C7
146	0	black	f
146	0	red	f
147	0	black	do
147	0	red	Db
148	0	black	G7_1
148	0	red	G7_1
149	0	black	G7
149	0	red	G7
150	0	black	c
150	0	red	c
151	0	black	Ab
151	0	red	Ab
152	0	black	f
152	0	red	f
153	0	black	do
153	0	red	do
154	0	black	G7_1
154	0	red	G7_1
155	0	black	G7
155	0	red	G7
155	1/2	black	bo
156	0	black	c
156	0	red	c
156	1/2	black	c_1
157	0	black	f
157	0	red	do_1
157	1/4	black	do_1
157	1/2	black	gbo7
157	1/2	red	gbo7
158	0	black	G
158	0	red	G
158	1/2	black	G_1
159	0	black	f_1
159	0	red	G7
159	1/2	black	Eb_1
160	0	black	do_1
160	1/2	black	c_1
161	0	black	bo_1
161	1/2	black	Ab_1
162	0	black	G_1
163	0	black	f_1
163	1/2	black	Eb_1
164	0	black	do_1
164	1/2	black	c_1
165	0	black	bo_1
165	1/2	black	Ab_1
166	0	black	G_1
166	1/2	black	f_1
167	0	black	G
167	1/2	black	G7
168	0	black	c
168	0	red	c
171	1/2	black	G7_2
171	1/2	red	G7_2
172	0	black	bo7_1
172	0	red	bo7_1
175	1/2	black	c_1
175	1/2	red	c_1
177	0	black	bo7_2
177	0	red	bo7_2
177	1/2	black	c_1
177	1/2	red	c_1
179	0	black	bo7_2
179	0	red	bo7_2
179	1/2	black	c_1
179	1/2	red	c_1
181	0	black	bo7_2
181	0	red	bo7_2
181	1/2	black	c_1
181	1/2	red	c_1
182	0	black	bo_1
182	0	red	bo_1
182	1/2	black	Ab_1
